date,close,open,high,low,volume
30-Oct-2015,1247.60,1250.00,1255.95,1242.50,1520000
2-Nov-2015,1258.67,1250.00,1261.40,1243.78,1320000
3-Nov-2015,1271.72,1264.00,1273.90,1259.25,1360000
4-Nov-2015,1266.90,1272.50,1273.60,1260.00,991000000
5-Nov-2015,1241.33,1265.40,1267.47,1240.00,1600000
6-Nov-2015,1252.88,1246.00,1259.12,1241.72,908000000
9-Nov-2015,1235.67,1247.50,1251.38,1234.30,2020000
10-Nov-2015,1229.08,1236.47,1238.50,1225.00,1360000
11-Nov-2015,1234.40,1237.50,1237.50,1225.00,135000000
13-Nov-2015,1198.70,1219.03,1219.03,1193.28,2740000
16-Nov-2015,1187.30,1195.00,1195.00,1178.00,2040000
17-Nov-2015,1195.28,1190.25,1199.22,1187.50,1990000
18-Nov-2015,1175.72,1194.45,1194.45,1173.00,1520000
19-Nov-2015,1181.28,1182.67,1190.80,1176.00,1870000
20-Nov-2015,1199.17,1183.25,1211.78,1180.97,2010000
23-Nov-2015,1195.53,1202.65,1206.70,1191.12,1090000
24-Nov-2015,1183.97,1190.03,1196.22,1182.75,998000000
26-Nov-2015,1172.78,1188.95,1191.20,1168.92,2920000
27-Nov-2015,1176.67,1174.00,1179.72,1166.25,1740000
30-Nov-2015,1182.35,1182.50,1195.62,1175.08,4100000
1-Dec-2015,1180.95,1181.45,1189.03,1178.53,1720000
2-Dec-2015,1182.60,1189.00,1189.05,1173.25,1640000
3-Dec-2015,1175.38,1180.00,1186.50,1173.50,2280000
4-Dec-2015,1164.20,1170.00,1173.65,1160.55,1250000
7-Dec-2015,1159.90,1166.10,1171.95,1157.62,1380000
8-Dec-2015,1164.50,1159.70,1174.50,1158.65,1140000
9-Dec-2015,1183.83,1168.95,1186.40,1160.00,5280000
10-Dec-2015,1192.28,1184.50,1195.60,1176.00,1720000
11-Dec-2015,1193.00,1191.50,1195.97,1181.62,1650000
14-Dec-2015,1189.22,1167.60,1193.50,1165.30,2720000
15-Dec-2015,1187.92,1189.22,1192.50,1181.53,1140000
16-Dec-2015,1204.20,1192.00,1207.25,1192.00,1440000
17-Dec-2015,1219.88,1207.50,1222.50,1196.67,1620000
18-Dec-2015,1208.40,1210.00,1217.10,1200.33,3020000
21-Dec-2015,1223.20,1209.97,1225.00,1203.42,1610000
22-Dec-2015,1202.53,1220.00,1220.00,1200.00,1560000
23-Dec-2015,1212.90,1207.50,1217.50,1205.28,849000000
24-Dec-2015,1217.12,1210.50,1219.10,1202.00,843000000
28-Dec-2015,1231.35,1214.00,1233.20,1210.10,3700000
29-Dec-2015,1227.90,1229.17,1232.65,1222.88,1710000
30-Dec-2015,1209.15,1226.53,1229.50,1206.15,1610000
31-Dec-2015,1218.42,1207.88,1224.25,1203.75,1240000
1-Jan-2016,1208.20,1219.50,1219.50,1206.12,712000000
4-Jan-2016,1184.80,1205.08,1207.00,1183.03,1870000
5-Jan-2016,1174.47,1192.50,1193.30,1170.50,2680000
6-Jan-2016,1190.80,1175.10,1193.08,1175.10,2650000
7-Jan-2016,1185.62,1185.00,1191.45,1180.00,3200000
8-Jan-2016,1198.80,1192.50,1203.67,1186.25,1910000
11-Jan-2016,1181.17,1191.25,1192.00,1174.42,2930000
12-Jan-2016,1163.53,1181.35,1182.50,1150.80,3480000
13-Jan-2016,1139.60,1158.50,1163.50,1127.55,4750000
14-Jan-2016,1139.40,1136.50,1149.45,1125.00,2740000
15-Jan-2016,1130.55,1144.42,1145.85,1127.50,3270000
