date,open,high,low,close,volume
20-Nov-2017,408,425,407.05,423.2,8036268
21-Nov-2017,425,427.9,416.7,419.35,3828511
22-Nov-2017,421.9,421.9,405.3,408.7,1780887
23-Nov-2017,409.2,419.8,405.3,411.75,3061531
24-Nov-2017,415.75,419,412.4,414.65,1286460
27-Nov-2017,415.05,417.9,410.4,414.8,1131200
28-Nov-2017,418,437,414.65,432.1,6255503
29-Nov-2017,433,440.55,427,427.5,3501973
30-Nov-2017,427.8,436.8,423.1,432.15,2995187
01-Dec-2017,445,450,437.35,447.25,6200604
04-Dec-2017,491.95,519.5,482.65,512.75,34163303
05-Dec-2017,515.95,519,505,512.85,14877514
06-Dec-2017,510,523,503.45,519,5483949
07-Dec-2017,516,525.6,514.1,523.25,4254663
08-Dec-2017,524,525,518.15,521.7,2066698
11-Dec-2017,524.6,530.8,520.5,524.65,2230338
12-Dec-2017,524,529.95,517.1,520.55,2008141
13-Dec-2017,515.2,521.55,512.2,515.25,1474488
14-Dec-2017,515.5,516.95,508.9,513.55,1479845
15-Dec-2017,517,523.4,515.7,521.2,1032766
18-Dec-2017,516,526.8,507.7,515.95,1803646
19-Dec-2017,519.3,540.9,516.8,537.85,2986321
20-Dec-2017,540,540,524.1,528.8,1625282
21-Dec-2017,532.4,548.7,530.35,539.9,4447205
22-Dec-2017,544,545.45,536.05,540.2,1703725
26-Dec-2017,542.45,542.75,537.2,539.65,1318203
27-Dec-2017,538.7,548.5,535.05,540.85,2576350
28-Dec-2017,541.5,547,538.25,540.25,1838456
29-Dec-2017,541,545.3,532.6,537.3,2409454
01-Jan-2018,540.15,545.95,535.6,538,642155
02-Jan-2018,540.4,547.3,534.45,541.7,1485518
03-Jan-2018,541,546,538.8,541.85,1038802
04-Jan-2018,542.5,545.5,538.85,541.65,863927
05-Jan-2018,542.8,545.8,537,540.95,816697
08-Jan-2018,544.2,564,542.25,555.35,2156482
09-Jan-2018,553.55,558.25,543.75,545.5,716294
10-Jan-2018,545,549.6,532.3,541.85,869408
11-Jan-2018,542,542,542,542,200000
11-Jan-2018,542.8,551.7,538,546.25,754266
12-Jan-2018,547,547.45,535,540.4,852638
